time,ç~êÖó (mm)
2010-01-10 00:10:00,0.5
2010-01-10 00:20:00,0.5
2010-01-10 00:30:00,0.5
2010-01-10 00:40:00,0.0
2010-01-10 00:50:00,0.5
2010-01-10 01:00:00,0.0
2010-01-10 01:10:00,0.5
2010-01-10 01:20:00,0.0
2010-01-10 01:30:00,0.5
2010-01-10 01:40:00,0.0
2010-01-10 01:50:00,0.0
2010-01-10 02:00:00,0.5
2010-01-10 02:10:00,0.0
2010-01-10 02:20:00,0.5
2010-01-10 02:30:00,0.0
2010-01-10 02:40:00,0.0
2010-01-10 02:50:00,0.0
2010-01-10 03:00:00,0.5
2010-01-10 03:10:00,0.5
2010-01-10 03:20:00,0.0
2010-01-10 03:30:00,0.0
2010-01-10 03:40:00,0.5
2010-01-10 03:50:00,0.0
2010-01-10 04:00:00,0.5
2010-01-10 04:10:00,0.0
2010-01-10 04:20:00,0.0
2010-01-10 04:30:00,0.5
2010-01-10 04:40:00,0.0
2010-01-10 04:50:00,0.0
2010-01-10 05:00:00,0.0
2010-01-10 05:10:00,0.0
2010-01-10 05:20:00,0.5
2010-01-10 05:30:00,0.0
2010-01-10 05:40:00,0.0
2010-01-10 05:50:00,0.0
2010-01-10 06:00:00,0.0
2010-01-10 06:10:00,0.0
2010-01-10 06:20:00,0.5
2010-01-10 06:30:00,0.0
2010-01-10 06:40:00,0.0
2010-01-10 06:50:00,0.0
2010-01-10 07:00:00,0.5
2010-01-10 07:10:00,0.0
2010-01-10 07:20:00,0.0
2010-01-10 07:30:00,0.0
2010-01-10 07:40:00,0.0
2010-01-10 07:50:00,0.5
2010-01-10 08:00:00,0.0
2010-01-10 08:10:00,0.0
2010-01-10 08:20:00,0.0
2010-01-10 08:30:00,0.5
2010-01-10 08:40:00,0.0
2010-01-10 08:50:00,0.0
2010-01-10 09:00:00,0.0
2010-01-10 09:10:00,0.0
2010-01-10 09:20:00,0.5
2010-01-10 09:30:00,0.0
2010-01-10 09:40:00,0.5
2010-01-10 09:50:00,0.0
2010-01-10 10:00:00,0.5
2010-01-10 10:10:00,0.0
2010-01-10 10:20:00,0.5
2010-01-10 10:30:00,0.5
2010-01-10 10:40:00,0.5
2010-01-10 10:50:00,0.0
2010-01-10 11:00:00,0.5
2010-01-10 11:10:00,0.5
2010-01-10 11:20:00,0.0
2010-01-10 11:30:00,0.5
2010-01-10 11:40:00,0.0
2010-01-10 11:50:00,0.5
2010-01-10 12:00:00,0.5
2010-01-10 12:10:00,0.0
2010-01-10 12:20:00,0.5
2010-01-10 12:30:00,0.5
2010-01-10 12:40:00,0.0
2010-01-10 12:50:00,0.5
2010-01-10 13:00:00,0.0
2010-01-10 13:10:00,0.0
2010-01-10 13:20:00,0.5
2010-01-10 13:30:00,0.0
2010-01-10 13:40:00,0.0
2010-01-10 13:50:00,0.5
2010-01-10 14:00:00,0.0
2010-01-10 14:10:00,0.0
2010-01-10 14:20:00,0.5
2010-01-10 14:30:00,0.0
2010-01-10 14:40:00,0.5
2010-01-10 14:50:00,0.5
2010-01-10 15:00:00,0.0
2010-01-10 15:10:00,0.5
2010-01-10 15:20:00,0.0
2010-01-10 15:30:00,0.5
2010-01-10 15:40:00,0.0
2010-01-10 15:50:00,0.0
2010-01-10 16:00:00,0.5
2010-01-10 16:10:00,0.0
2010-01-10 16:20:00,0.5
2010-01-10 16:30:00,0.0
2010-01-10 16:40:00,0.5
2010-01-10 16:50:00,0.5
2010-01-10 17:00:00,0.0
2010-01-10 17:10:00,0.5
2010-01-10 17:20:00,0.0
2010-01-10 17:30:00,0.0
2010-01-10 17:40:00,0.0
2010-01-10 17:50:00,0.0
2010-01-10 18:00:00,0.0
2010-01-10 18:10:00,0.0
2010-01-10 18:20:00,0.0
2010-01-10 18:30:00,0.0
2010-01-10 18:40:00,0.0
2010-01-10 18:50:00,0.0
2010-01-10 19:00:00,0.0
2010-01-10 19:10:00,0.0
2010-01-10 19:20:00,0.0
2010-01-10 19:30:00,0.0
2010-01-10 19:40:00,0.0
2010-01-10 19:50:00,0.0
2010-01-10 20:00:00,0.0
2010-01-10 20:10:00,0.0
2010-01-10 20:20:00,0.0
2010-01-10 20:30:00,0.5
2010-01-10 20:40:00,0.5
2010-01-10 20:50:00,0.5
2010-01-10 21:00:00,0.5
2010-01-10 21:10:00,0.0
2010-01-10 21:20:00,0.5
2010-01-10 21:30:00,0.0
2010-01-10 21:40:00,0.0
2010-01-10 21:50:00,0.5
2010-01-10 22:00:00,0.0
2010-01-10 22:10:00,0.5
2010-01-10 22:20:00,0.0
2010-01-10 22:30:00,0.0
2010-01-10 22:40:00,0.0
2010-01-10 22:50:00,0.0
2010-01-10 23:00:00,0.0
2010-01-10 23:10:00,0.0
2010-01-10 23:20:00,0.0
2010-01-10 23:30:00,0.0
2010-01-10 23:40:00,0.0
2010-01-10 23:50:00,0.0
2010-01-11 00:00:00,0.0
